timestamp,cone_type,rel_x_sensor,rel_y_sensor,confidence,label,vehicle_x,vehicle_y,vehicle_yaw,rel_x_vehicle,rel_y_vehicle,global_x,global_y,cov_xx,cov_xy,cov_yy,sigma_x,sigma_y
0.0,left,0.026,3.531,0.87,real,40.0,0.0,1.5708,-0.026000000000000432,-3.531,43.53100009547951,-0.025987029912605115,0.012500205716155795,2.7951780876356212e-05,0.01629796157064346,0.11180431886182123,0.12766346999296024
0.0,left,-5.075,2.862,0.78,real,40.0,0.0,1.5708,5.075,-2.8620000000000005,42.86198135846479,5.075010512678769,0.020345651261236615,-0.004424445545202016,0.01499510432348385,0.14263818304099576,0.12245449899241698
0.0,left,-9.808,0.925,0.86,real,40.0,0.0,1.5708,9.808,-0.9250000000000013,40.9249639731981,9.808003397648553,0.04180328592281692,-0.002763506768505723,0.012760618200965322,0.2044585188316127,0.11296290630541214
0.0,left,-14.271,-2.37,0.96,real,40.0,0.0,1.5708,14.271,2.3699999999999983,37.62994757970596,14.27099129440763,0.07453880015427508,0.010303083046192915,0.014211082741651525,0.27301794841049387,0.11921024595919398
0.0,left,-18.437,-6.697,0.83,real,40.0,0.0,1.5708,18.437,6.696999999999997,33.30293227716269,18.436975400421044,0.11604627018411692,0.037612263877859486,0.026162321119845938,0.34065564751537136,0.16174770823676587
0.0,right,-3.55,-4.099,0.97,real,40.0,0.0,1.5708,3.5500000000000003,4.099,35.90098696014953,3.549984943508332,0.016338911759522907,0.004432624253771781,0.017618158219288606,0.12782375272038804,0.13273341033548638
0.0,right,-7.36,-5.682,0.92,real,40.0,0.0,1.5708,7.360000000000001,5.6819999999999995,34.31797296524877,7.359979128798951,0.02900092434098505,0.01273898968503757,0.022334713185879984,0.17029657759621902,0.14944802837735927
0.0,right,-10.488,-8.334,0.91,real,40.0,0.0,1.5708,10.488000000000001,8.333999999999998,31.6659614754811,10.487969387437916,0.046007183923891776,0.02662576055993541,0.03365758599723803,0.21449285285037303,0.1834600392380805
0.1,right,-13.644,-11.938,0.89,real,39.998,0.262,1.5876,13.644000000000002,11.937999999999999,27.83242685985696,13.703480951585291,0.06753631520503067,0.04981209439662229,0.05758377312206413,0.2598775003824507,0.23996619162303703
0.1,right,-10.71,-8.166,0.98,real,39.998,0.262,1.5876,10.710000000000003,8.165999999999999,31.653193991989887,10.833275641505068,0.046541595075069025,0.026871923194336397,0.0337122920377241,0.21573501124080213,0.1836090739525803
0.1,right,-7.168,-5.65,0.88,real,39.998,0.262,1.5876,7.168000000000001,5.6499999999999995,34.22835459670129,7.334051747561951,0.027735123079836964,0.01242938555654304,0.022640359516862794,0.1665386534106631,0.1504671376642182
0.1,right,-3.407,-4.118,0.89,real,39.998,0.262,1.5876,3.4070000000000005,4.118,35.823333952204194,3.599324735380266,0.015892751429297396,0.004243999407772543,0.017808827171256612,0.1260664564001757,0.13344971776387018
0.1,left,-13.997,-1.87,0.95,real,39.998,0.262,1.5876,13.997,1.8699999999999983,37.89307405828405,14.225602535874874,0.0718950242933104,0.008953429254566273,0.013849673585798198,0.26813247526793615,0.11768463615017127
0.1,left,-18.137,-6.051,0.84,real,39.998,0.262,1.5876,18.137,6.0509999999999975,33.643100391909,18.29476520589909,0.11155576663058198,0.034908093426176956,0.0248019085925128,0.33399965064440107,0.15748621715093927
0.1,left,-9.669,1.298,0.8,real,39.998,0.262,1.5876,9.669,-1.2980000000000012,41.133349680268864,9.951445087491512,0.04109913639960726,-0.0033510711990283586,0.012892657946871139,0.20272921940264865,0.11354584072906915
0.1,left,-4.598,2.851,0.99,real,39.998,0.262,1.5876,4.598,-2.8510000000000004,42.77133784700327,4.907255879537667,0.01907316283132656,-0.0039243481365438745,0.014842937287875974,0.13810562201201862,0.12183159396427502
0.1,left,-21.506,-11.431,0.78,real,39.998,0.262,1.5876,21.506,11.430999999999997,28.207251020779335,21.572890068437,0.1508433490635884,0.07654169753188106,0.05484848657862905,0.38838556752741005,0.2341975375161512
0.2,right,-7.434,-5.572,0.84,real,39.991,0.524,1.6043,7.434000000000001,5.571999999999999,34.173107268438784,7.767180528196656,0.028481359708643864,0.012836603495858636,0.02281066144020063,0.16876421335296138,0.15103198813562851
0.2,right,-13.59,-11.565,0.93,real,39.991,0.524,1.6043,13.590000000000002,11.564999999999998,27.977260484565235,13.718975856563032,0.06553618871429158,0.04828830026149856,0.05646545073602369,0.2560003685823354,0.23762460044369077
0.2,right,-10.4,-7.884,0.95,real,39.991,0.524,1.6043,10.400000000000002,7.8839999999999995,31.76305144756754,10.65407002041569,0.04375935423440612,0.025389790781762123,0.03312235422739853,0.20918736633555604,0.18199547859053677
0.2,right,-3.286,-4.067,0.92,real,39.991,0.524,1.6043,3.2860000000000005,4.067,35.81620990754674,3.671921962811988,0.015518582310768048,0.004003259189116614,0.017809142665441837,0.12457360198199315,0.13345089983001926
0.2,left,-13.947,-2.115,0.87,real,39.991,0.524,1.6043,13.947,2.1149999999999984,37.409998612712954,14.392325992664809,0.07108726046831544,0.0109035366363647,0.014529231444348603,0.2666219429610313,0.12053726164281568
0.2,left,-17.753,-5.973,0.95,real,39.991,0.524,1.6043,17.753,5.972999999999998,33.426672579475564,18.066957091555317,0.10624771902339523,0.035079075858489406,0.02562609603630534,0.3259566213829614,0.16008152934147443
