timestamp,cone_type,rel_x_sensor,rel_y_sensor,confidence,label,vehicle_x,vehicle_y,vehicle_yaw,rel_x_vehicle,rel_y_vehicle,global_x,global_y,cluster_id
0.0,left,0.026,3.531,0.87,real,40.0,0.0,1.5708,-0.026000000000000432,-3.531,43.53100009547951,-0.025987029912605115,0
0.0,left,-5.075,2.862,0.78,real,40.0,0.0,1.5708,5.075,-2.8620000000000005,42.86198135846479,5.075010512678769,1
0.0,left,-9.808,0.925,0.86,real,40.0,0.0,1.5708,9.808,-0.9250000000000013,40.9249639731981,9.808003397648553,2
0.0,left,-14.271,-2.37,0.96,real,40.0,0.0,1.5708,14.271,2.3699999999999983,37.62994757970596,14.27099129440763,3
0.0,left,-18.437,-6.697,0.83,real,40.0,0.0,1.5708,18.437,6.696999999999997,33.30293227716269,18.436975400421044,4
0.0,right,-3.55,-4.099,0.97,real,40.0,0.0,1.5708,3.5500000000000003,4.099,35.90098696014953,3.549984943508332,5
0.0,right,-7.36,-5.682,0.92,real,40.0,0.0,1.5708,7.360000000000001,5.6819999999999995,34.31797296524877,7.359979128798951,6
0.0,right,-10.488,-8.334,0.91,real,40.0,0.0,1.5708,10.488000000000001,8.333999999999998,31.6659614754811,10.487969387437916,7
0.1,right,-13.644,-11.938,0.89,real,39.998,0.262,1.5876,13.644000000000002,11.937999999999999,27.83242685985696,13.703480951585291,8
0.1,right,-10.71,-8.166,0.98,real,39.998,0.262,1.5876,10.710000000000003,8.165999999999999,31.653193991989887,10.833275641505068,7
0.1,right,-7.168,-5.65,0.88,real,39.998,0.262,1.5876,7.168000000000001,5.6499999999999995,34.22835459670129,7.334051747561951,6
0.1,right,-3.407,-4.118,0.89,real,39.998,0.262,1.5876,3.4070000000000005,4.118,35.823333952204194,3.599324735380266,5
0.1,left,-13.997,-1.87,0.95,real,39.998,0.262,1.5876,13.997,1.8699999999999983,37.89307405828405,14.225602535874874,3
0.1,left,-18.137,-6.051,0.84,real,39.998,0.262,1.5876,18.137,6.0509999999999975,33.643100391909,18.29476520589909,4
0.1,left,-9.669,1.298,0.8,real,39.998,0.262,1.5876,9.669,-1.2980000000000012,41.133349680268864,9.951445087491512,2
0.1,left,-4.598,2.851,0.99,real,39.998,0.262,1.5876,4.598,-2.8510000000000004,42.77133784700327,4.907255879537667,1
0.1,left,-21.506,-11.431,0.78,real,39.998,0.262,1.5876,21.506,11.430999999999997,28.207251020779335,21.572890068437,9
0.2,right,-7.434,-5.572,0.84,real,39.991,0.524,1.6043,7.434000000000001,5.571999999999999,34.173107268438784,7.767180528196656,6
0.2,right,-13.59,-11.565,0.93,real,39.991,0.524,1.6043,13.590000000000002,11.564999999999998,27.977260484565235,13.718975856563032,8
0.2,right,-10.4,-7.884,0.95,real,39.991,0.524,1.6043,10.400000000000002,7.8839999999999995,31.76305144756754,10.65407002041569,7
0.2,right,-3.286,-4.067,0.92,real,39.991,0.524,1.6043,3.2860000000000005,4.067,35.81620990754674,3.671921962811988,5
0.2,left,-13.947,-2.115,0.87,real,39.991,0.524,1.6043,13.947,2.1149999999999984,37.409998612712954,14.392325992664809,3
0.2,left,-17.753,-5.973,0.95,real,39.991,0.524,1.6043,17.753,5.972999999999998,33.426672579475564,18.066957091555317,4
0.2,left,-9.328,0.938,0.92,real,39.991,0.524,1.6043,9.328,-0.938000000000001,40.61600979912966,9.878185734257787,2
0.2,left,-4.465,3.142,0.8,real,39.991,0.524,1.6043,4.465,-3.1420000000000003,42.98167080754412,5.091743110213555,1
0.2,left,-21.44,-11.316,0.9,real,39.991,0.524,1.6043,21.44,11.315999999999999,27.963166112912894,21.57291132540206,9
0.3,right,-13.566,-11.282,0.81,real,39.98,0.785,1.621,13.566000000000003,11.281999999999998,28.031437666248912,13.767747712116451,8
0.3,right,-10.105,-7.721,0.87,real,39.98,0.785,1.621,10.105000000000002,7.720999999999999,31.76163295410018,10.48980855549804,7
0.3,right,-6.862,-5.323,0.86,real,39.98,0.785,1.621,6.862000000000001,5.3229999999999995,34.31935374792272,7.371232383452888,6
0.3,right,-3.553,-3.411,0.85,real,39.98,0.785,1.621,3.5530000000000004,3.4109999999999996,36.3949989231933,4.1623506301974045,5
0.3,left,-21.566,-10.978,0.71,real,39.98,0.785,1.621,21.566,10.977999999999998,27.933593949374423,21.77292370062964,9
0.3,left,-13.485,-1.624,0.91,real,39.98,0.785,1.621,13.485,1.6239999999999986,37.68133395779793,14.171513191508351,3
0.3,left,-8.798,1.226,0.99,real,39.98,0.785,1.621,8.798,-1.226000000000001,40.76294891434143,9.633438901723375,2
0.3,left,-3.996,2.826,0.94,real,39.98,0.785,1.621,3.9959999999999996,-2.8260000000000005,42.60190979305087,4.917781271384189,1
0.3,left,-17.871,-5.546,0.79,real,39.98,0.785,1.621,17.871,5.5459999999999985,33.54417461531027,18.355170989998456,4
0.4,right,-6.722,-5.477,0.79,real,39.965,1.047,1.6378,6.722000000000001,5.476999999999999,34.05022811878872,7.387211872897652,6
0.4,left,-5.83,4.253,0.45,ghost,39.965,1.047,1.6378,5.829999999999999,-4.253000000000001,43.8181174750426,7.148671469648411,-1
0.4,right,-13.245,-11.301,0.92,real,39.965,1.047,1.6378,13.245000000000001,11.300999999999998,27.80255862936644,13.505637401654372,8
0.4,right,-10.218,-7.745,0.99,real,39.965,1.047,1.6378,10.218000000000002,7.744999999999999,31.553247691089805,10.723516526805708,7
0.4,right,-3.108,-3.832,0.99,real,39.965,1.047,1.6378,3.1080000000000005,3.8319999999999994,35.93350701897663,3.8914599388915994,5
0.4,left,-17.598,-5.406,0.89,real,39.965,1.047,1.6378,17.598,5.405999999999998,33.39288200200404,18.2435608486237,4
0.4,left,-21.318,-10.626,0.8,real,39.965,1.047,1.6378,21.318,10.625999999999998,27.93552799107935,21.605715990708042,9
0.4,left,-13.137,-1.327,0.98,real,39.965,1.047,1.6378,13.137,1.3269999999999984,37.76140889000073,14.065674441736846,3
0.4,left,-8.508,1.493,0.99,real,39.965,1.047,1.6378,8.508,-1.4930000000000012,40.88500905242373,9.63587049287963,2
0.4,left,-3.78,3.029,0.84,real,39.965,1.047,1.6378,3.7799999999999994,-3.0290000000000004,42.73411879204943,5.021320333782711,1
0.5,right,-13.365,-11.086,0.87,real,39.945,1.308,1.6545,13.365000000000002,11.085999999999999,27.7804195538309,13.69935196694374,8
0.5,right,-10.045,-7.559,0.89,real,39.945,1.308,1.6545,10.045000000000002,7.558999999999999,31.572642951831927,10.68585388337814,7
0.5,right,-6.477,-5.11,0.87,real,39.945,1.308,1.6545,6.477000000000001,5.109999999999999,34.311374823178994,7.33509684401109,6
0.5,right,-2.816,-4.01,0.89,real,39.945,1.308,1.6545,2.8160000000000003,4.01,35.713605043422156,3.778880960598387,5
0.5,left,-21.613,-10.111,0.88,real,39.945,1.308,1.6545,21.613,10.110999999999999,28.06242397298812,21.999990647646314,9
0.5,left,-17.328,-5.095,0.82,real,39.945,1.308,1.6545,17.328,5.094999999999998,33.41911397820977,18.149360415079386,4
0.5,left,-13.095,-0.909,0.86,real,39.945,1.308,1.6545,13.095,0.9089999999999985,37.94436239253709,14.281155173804292,3
0.5,left,-8.29,1.23,0.84,real,39.945,1.308,1.6545,8.29,-1.230000000000001,40.477600186184645,9.671811155309287,2
0.5,left,-3.488,3.223,0.79,real,39.945,1.308,1.6545,3.4879999999999995,-3.2230000000000003,42.86509832364408,5.053250162572728,1
0.6,right,-13.472,-10.964,0.94,real,39.921,1.57,1.6711,13.472000000000001,10.963999999999999,27.66308085354231,13.876400700404078,8
