candidate_id,landmark_x,landmark_y,landmark_cov_xx,landmark_cov_xy,landmark_cov_yy,landmark_sigma_x,landmark_sigma_y,consensus_score,observation_count,unique_viewpoint_bins,sigma_spatial_m,duration_s,max_baseline_m,viewpoint_entropy,geometry_score,persistence_score,viewpoint_diversity,weighted_shift_m
0,43.50233350717255,-0.005019062715302169,0.00018454404743948962,-8.02140667603901e-05,0.0001487990308211994,0.013584699019098274,0.01219832081973578,0.7556237547213049,150,2,0.2724600135949501,119.9,20.89041179584548,0.2492687194437442,0.9361437962939394,1.0,1.0,0.017037637146276742
1,42.84643073723048,4.963687663245363,0.0002142989021745291,-6.399695020742372e-05,0.00010808820058653128,0.014638951539455587,0.010396547532067138,0.7306906068978121,162,2,0.2468443306992258,119.9,21.3732734975249,0.1550232816272154,0.9472787413654916,1.0,1.0,0.008699117460628137
2,40.88613665501061,9.781415443570086,0.00023315552054084266,-3.090981729324122e-05,7.780273325556525e-05,0.015269430917386629,0.008820585766011533,0.7080190347032762,176,2,0.2687670989281108,119.9,22.287604559485526,0.0889216626010086,0.9378084530765785,1.0,1.0,0.009940761520625865
3,37.68491874057881,14.260070598755146,0.0002490376360316678,1.4823766731321559e-05,7.750238219565702e-05,0.015780926336298125,0.0088035437294113,0.7591172490394322,166,2,0.2508803626486843,119.9,20.877974279129667,0.2514687346545525,0.9455887621435548,1.0,1.0,0.022086956109726153
4,33.33111269650058,18.30350369339775,0.00023955100211136662,5.656158685153627e-05,9.798704145783572e-05,0.015477435256248583,0.009898840409756878,0.7346631668078674,162,2,0.245609021496156,119.9,21.29534381032624,0.1677527782585486,0.9477911111010092,1.0,1.0,0.0065556379089123295
5,35.940192548357096,3.744834308110141,0.0001687625677450309,1.6972985047421296e-05,8.791752778998745e-05,0.012990864780492132,0.009376434705685709,0.8481868505474286,162,4,0.2612923236739746,119.9,21.14816540506528,0.5528390770432862,0.9411170914481426,1.0,1.0,0.012998251500046852
6,34.32231181588027,7.349907391627476,0.00016141950562725263,4.1877668429583994e-05,0.00011329786455775814,0.01270509762368053,0.010644146962427667,0.8100752330487568,152,3,0.2504109023050734,119.9,19.143764781254493,0.4211308549492973,0.9457865885465592,1.0,1.0,0.0013478720887651816
7,31.593377723535117,10.72297343689388,0.00014304948066889498,5.4287340050392145e-05,0.00015191843551213695,0.011960329454864317,0.012325519685276436,0.8273461766929704,144,3,0.2600973321779452,119.9,18.35195553612748,0.4828488030866723,0.9416384525565622,1.0,1.0,0.004541086421140455
8,27.91913568634862,13.801619701283746,0.00012839236621814003,5.522365356983656e-05,0.00019158568960086827,0.011331035531589337,0.01384144824795687,0.8122326819090073,138,4,0.2512841526931093,66.80000000000001,19.09516894400256,0.4286905942996187,0.9454183453970728,1.0,1.0,0.027031913434556163
9,27.970131647439143,21.829147336809722,0.0002189455894194222,8.802078322054154e-05,0.00013337159288897082,0.014796810109595318,0.011548661952320313,0.7158651402829388,162,2,0.2605043986709492,68.0,22.92184977265142,0.1114227108539313,0.941461090089198,1.0,1.0,0.015260298541624551
12,23.483363026448785,16.442379214091027,0.00011374172940606674,4.806847033817842e-05,0.000223766365347116,0.010664976765378663,0.014958822324872905,0.7812542434798186,138,3,0.2471780907704257,66.8,20.65328131314732,0.3237075640743331,0.947139914191729,1.0,1.0,0.004242744262205901
14,18.249685594616082,18.612134410254548,0.0001017960156975759,3.517671567243866e-05,0.00025112299943029997,0.010089401156539267,0.01584686086991048,0.7925137676697462,140,3,0.2537580765768992,66.89999999999999,22.64603022606832,0.3640102882059365,0.944368937359884,1.0,1.0,0.02542848857237608
15,21.74597259389526,24.68804916822873,0.00020631082178193625,0.00010257161068576055,0.0001908685622468407,0.014363524002901803,0.013815518891697146,0.8042277714021817,133,3,0.2595798787300712,66.5,21.28159890609725,0.4055623453633072,0.941863559310632,1.0,1.0,0.004211812735113832
16,12.46288379378242,20.192493939266047,9.429765544815134e-05,1.828699985789554e-05,0.0002714719495637224,0.009710697989750857,0.016476405844835285,0.8031890879377828,142,3,0.2804903104372604,67.0,24.65875236097723,0.4115074909337752,0.9324561355255008,1.0,1.0,0.007885640785488058
18,14.846198472269318,26.767461071497618,0.00019426413691558915,0.00010614407782435275,0.00024398850165494322,0.013937867014561057,0.015620131294420775,0.7793530228000491,116,3,0.2620461967407971,65.7,20.614516850996043,0.3237229708584757,0.9407871051416884,1.0,1.0,0.008838821373687578
19,6.335051551899585,21.15083775386712,0.00010103899968823684,-7.977929570283281e-06,0.00029473053555952673,0.010051815740861789,0.017167717832010366,0.8170201291003285,130,3,0.263778882076774,66.39999999999999,24.30081120045172,0.4500415866816234,0.9400255103194716,1.0,1.0,0.01430959055270593
20,7.529761116665448,28.053098375718292,0.0001793647613062265,0.00010111318192459288,0.0002860684886215065,0.013392712992751936,0.016913559312619755,0.764226172655939,108,3,0.2612089370838579,65.3,20.524629716513765,0.2729337019491572,0.9411535402373058,1.0,1.0,0.009416390339596037
21,-0.010452501639774514,21.505406191204308,0.00011304830124867026,-3.2052764681131455e-05,0.00029048735073418727,0.010632417469638326,0.017043689469542305,0.8024272274128423,122,3,0.2369161806692631,66.0,23.990993018214148,0.3900925853179466,0.9513315060581948,1.0,1.0,0.008027895072024616
22,0.009816661711596453,28.518755459371675,0.0001578693865860171,8.25332584244064e-05,0.00029961588804792413,0.012564608493145224,0.01730941616715954,0.7557518519656028,107,3,0.2644170623712849,65.2,21.03414597743393,0.2460956142956801,0.9397438922563296,1.0,1.0,0.0193885108185454
24,-6.370661190876705,21.171192929040497,0.0001279175178171914,-5.225638015912242e-05,0.0002837619197758612,0.011310062679631418,0.016845234334251964,0.7583173833541408,117,3,0.2457867020626955,65.69999999999999,23.4008171865856,0.2466737221457131,0.9477175557014228,1.0,1.0,0.004426062521598923
27,-7.555421460630872,28.08020008724989,0.00014454041275733997,6.513510622906423e-05,0.00032526372196901843,0.012022496111762314,0.018035069225512235,0.7404335703271039,104,2,0.2527646250386682,65.10000000000001,21.058694285259,0.1899871253467833,0.9447914424102294,1.0,1.0,0.020691541450050702
