s_m,x_m,y_m
0.04625909354002663,39.9781937300445,0.05214904563989711
1.061668052427502,39.89394821143193,1.0710267144980834
2.077077011314977,39.79104876087035,2.085407879208673
3.0924859702024525,39.65139004082452,3.090965048062817
4.107894929089928,39.45696245975796,4.083383674698347
5.123303887977403,39.19277759218443,5.058752152421967
6.138712846864879,38.85806469361753,6.014592661705496
7.154121805752354,38.46010964476895,6.948652580388438
8.169530764639829,38.00670703152768,7.85866186423415
9.184939723527304,37.50537235968082,8.742441785389122
10.200348682414779,36.96108057932915,9.598657757408766
11.215757641302254,36.37702054493367,10.426901223387494
12.23116660018973,35.7560545158061,11.227239699366423
13.246575559077206,35.10102723129689,11.99976126186048
14.261984517964681,34.41470386256033,12.744621061818169
15.277393476852156,33.69982442446924,13.46262342136535
16.29280243573963,32.95884267240848,14.154576138566346
17.308211394627108,32.19399742081929,14.821234693499951
18.32362035351458,31.407516213958914,15.46335182197421
19.339029312402058,30.60155750499529,16.081621909607758
20.35443827128953,29.77773882367557,16.676282781142888
21.369847230177008,28.937324096217367,17.247399688551738
22.38525618906448,28.081334769035998,17.79515939053845
23.40066514795196,27.210754594386675,18.3197689067141
24.416074106839435,26.326567325123108,18.821435256546216
25.43148306572691,25.429780718588656,19.300359703312694
26.446892024614385,24.52148175829163,19.756729392282047
27.46230098350186,23.60262030479474,20.190850960726
28.477709942389335,22.674009191457507,20.603138292065008
29.49311890127681,21.736456768574065,20.994008762551616
30.508527860164286,20.790771386438557,21.363879748438354
31.52393681905176,19.83772383383424,21.713186690286527
32.53934577793924,18.877817651799848,22.042491066432436
33.554754736826716,17.911489818852374,22.352331538962755
34.57016369571419,16.939234697839115,22.643165651076156
35.58557265460166,15.961549370278659,22.915447411240272
36.60098161348914,14.978930917689574,23.16963082792274
37.616390572376616,13.991876440175833,23.40616972880524
38.63179953126409,13.000889522487668,23.62545178440527
39.64720849015156,12.006419192266836,23.82774084589582
40.66261744903904,11.008757755731136,24.01336406061222
41.67802640792652,10.008175991220138,24.182660140843286
42.69343536681399,9.00494467707341,24.33596779887785
43.70884432570147,7.999334591630508,24.47362574700474
44.72425328458894,6.991616485934851,24.59597175831512
45.73966224347642,5.982057481913698,24.70322226630621
46.755071202363894,4.970911265609384,24.79516625310856
47.77048016125137,3.958425794952507,24.871415463663624
48.78588912013885,2.944848896972824,24.93157736953865
49.80129807902632,1.9304283987001005,24.975259442300917
50.816707037913794,0.915412127164078,25.00206915351768
51.83211599680127,-0.0999521737537922,25.01161533293516
52.84752495568875,-1.1154035014922723,25.003670667248613
53.86293391457622,-2.1306288368709856,24.97835520010428
54.878342873463694,-3.145306730605287,24.93587767938663
55.89375183235117,-4.159116148641909,24.876452718152905
56.90916079123865,-5.171736056927591,24.800294929460378
57.924569750126125,-6.18284542140907,24.707618926366294
58.939978709013594,-7.192126940371475,24.598648638474295
59.95538766790107,-8.199354334002004,24.47366682695005
60.97079662678855,-9.204377138835694,24.332704708864473
61.986205585676025,-10.207035287715627,24.175622885337177
63.001614544563495,-11.207167323392493,24.00226606315306
64.01702350345097,-12.204611788617001,23.81247894909703
65.03243246233845,-13.199207226139835,23.606106249953996
66.04784142122593,-14.190715036836455,23.38274197138188
67.0632503801134,-15.178563330343767,23.141287452833687
68.07865933900088,-16.162073012045955,22.881053013000738
69.09406829788836,-17.14055793730723,22.60155155215653
70.10947725677582,-18.113331484770747,22.30230966950741
71.1248862156633,-19.079707033079725,21.982853964259725
72.14029517455077,-20.03899972089232,21.642794555301336
73.15570413343825,-20.99054518951789,21.28264720423487
74.17111309232573,-21.9336950829799,20.902915010923447
75.1865220512132,-22.867803980855605,20.503551240299764
76.20193101010068,-23.792227042274153,20.084390061159695
77.21733996898816,-24.7063194350971,19.64526384781233
78.23274892787563,-25.609453944847022,19.18594812485597
79.2481578867631,-26.50119084616787,18.705602183499177
80.26356684565057,-27.38101472707266,18.20327770718832
81.27897580453805,-28.248122603991646,17.678433885415718
82.29438476342553,-29.101622890873372,17.130656450808452
83.309793722313,-29.940619610359942,16.55953739782658
84.32520268120048,-30.76389636732246,15.964728223774262
85.34061164008796,-31.569069860867884,15.346029473175882
86.35602059897543,-32.35353241141602,14.702618231217084
87.37142955786291,-33.114714710498795,14.033073566917253
88.38683851675037,-33.850056380081966,13.335835367929658
89.40224747563785,-34.55711145734536,12.609416262243982
90.41765643452533,-35.23443028999982,11.853021640699163
