candidate_id,observation_count,num_unique_timestamps,max_baseline_m,mean_pairwise_baseline_m,median_pairwise_baseline_m,min_pairwise_baseline_m,viewpoint_diversity
104,1,1,0.0,0.0,0.0,0.0,0.0
105,1,1,0.0,0.0,0.0,0.0,0.0
106,1,1,0.0,0.0,0.0,0.0,0.0
107,1,1,0.0,0.0,0.0,0.0,0.0
108,1,1,0.0,0.0,0.0,0.0,0.0
109,1,1,0.0,0.0,0.0,0.0,0.0
110,1,1,0.0,0.0,0.0,0.0,0.0
111,1,1,0.0,0.0,0.0,0.0,0.0
112,1,1,0.0,0.0,0.0,0.0,0.0
113,1,1,0.0,0.0,0.0,0.0,0.0
114,1,1,0.0,0.0,0.0,0.0,0.0
115,1,1,0.0,0.0,0.0,0.0,0.0
116,1,1,0.0,0.0,0.0,0.0,0.0
117,1,1,0.0,0.0,0.0,0.0,0.0
118,1,1,0.0,0.0,0.0,0.0,0.0
119,1,1,0.0,0.0,0.0,0.0,0.0
120,1,1,0.0,0.0,0.0,0.0,0.0
121,1,1,0.0,0.0,0.0,0.0,0.0
122,2,2,6.858424381736668,6.858424381736668,6.858424381736668,6.858424381736668,1.0
123,1,1,0.0,0.0,0.0,0.0,0.0
124,1,1,0.0,0.0,0.0,0.0,0.0
125,1,1,0.0,0.0,0.0,0.0,0.0
126,1,1,0.0,0.0,0.0,0.0,0.0
127,1,1,0.0,0.0,0.0,0.0,0.0
128,1,1,0.0,0.0,0.0,0.0,0.0
129,1,1,0.0,0.0,0.0,0.0,0.0
130,1,1,0.0,0.0,0.0,0.0,0.0
131,1,1,0.0,0.0,0.0,0.0,0.0
132,1,1,0.0,0.0,0.0,0.0,0.0
133,1,1,0.0,0.0,0.0,0.0,0.0
134,1,1,0.0,0.0,0.0,0.0,0.0
135,1,1,0.0,0.0,0.0,0.0,0.0
136,1,1,0.0,0.0,0.0,0.0,0.0
137,1,1,0.0,0.0,0.0,0.0,0.0
138,1,1,0.0,0.0,0.0,0.0,0.0
139,1,1,0.0,0.0,0.0,0.0,0.0
140,1,1,0.0,0.0,0.0,0.0,0.0
