candidate_id,landmark_x,landmark_y,consensus_score,s_m,l_m,side,trajectory_timestamp
0.0,43.50233350717255,-0.0050190627153021,0.7556237547213049,-0.005031927504580408,-3.5023334887128765,right,0.0
1.0,42.84643073723048,4.963687663245363,0.7306906068978121,-0.12279452737389263,-3.4957431761658335,right,1.6
2.0,40.88613665501061,9.781415443570086,0.7080190347032762,-0.1519173615058218,-3.4767612697837933,right,3.2
3.0,37.68491874057881,14.260070598755146,0.7591172490394322,-0.07488121643843781,-3.4405846591215843,right,4.8
4.0,33.33111269650058,18.30350369339775,0.7346631668078674,0.1606614892167535,-3.4065810716291827,right,6.4
5.0,35.940192548357096,3.744834308110141,0.8481868505474286,0.07884871766926949,3.4793109929861457,left,1.8
6.0,34.32231181588027,7.349907391627476,0.8100752330487568,-0.03017183308265481,3.415027638746352,left,3.6
7.0,31.59337772353512,10.72297343689388,0.8273461766929704,-0.04793597191073884,3.431883908149292,left,5.3
8.0,27.91913568634862,13.801619701283746,0.8122326819090073,0.12115625929038054,3.4340091297763173,left,6.9
9.0,27.970131647439143,21.82914733680972,0.7158651402829388,0.15481026373897655,-3.4268702804394087,right,8.1
12.0,23.483363026448785,16.442379214091027,0.7812542434798186,0.15899414201334072,3.4277540291013104,left,8.5
14.0,18.24968559461608,18.612134410254548,0.7925137676697462,-0.10616490344544582,3.448550490391363,left,10.2
15.0,21.74597259389526,24.68804916822873,0.8042277714021817,-0.1992786208165016,-3.452323971267741,right,9.9
16.0,12.46288379378242,20.192493939266047,0.8031890879377828,-0.05025611247194017,3.4855434051378658,left,11.8
18.0,14.846198472269318,26.767461071497618,0.7793530228000491,-0.12455471700368814,-3.4533395666018434,right,11.6
19.0,6.335051551899585,21.15083775386712,0.8170201291003285,-0.03366776059436721,3.5150909328834348,left,13.4
20.0,7.529761116665448,28.05309837571829,0.764226172655939,-0.058607362092137016,-3.476426769127153,right,13.3
21.0,-0.0104525016397745,21.505406191204308,0.8024272274128423,0.010478174359117451,3.4945937319130262,left,15.0
22.0,0.0098166617115964,28.518755459371675,0.7557518519656028,-0.00984251193235291,-3.5187553871594988,right,15.0
24.0,-6.370661190876705,21.171192929040497,0.7583173833541408,0.06694089558031613,3.4911059785864893,left,16.6
27.0,-7.555421460630872,28.08020008724989,0.7404335703271039,0.08107810179064984,-3.5062264650613,right,16.7
28.0,-12.467351677562256,20.16885726398293,0.7744012957774662,0.05964829086218948,3.5076893164759753,left,18.2
29.0,-14.868803807997402,26.82768730887345,0.7337692823573962,0.13293707225151585,-3.5171199475377457,right,18.4
