candidate_id,num_observations,unique_viewpoint_bins,sigma_spatial_m,duration_s,max_baseline_m,viewpoint_entropy,geometry_score,persistence_score,viewpoint_diversity,entropy_contribution,geometry_contribution,diversity_contribution,persistence_contribution,consensus_score,accepted
0,150,2,0.2724600135949501,119.9,20.89041179584548,0.2492687194437442,0.9361437962939394,1.0,1.0,0.07478061583312326,0.2808431388881818,0.2,0.2,0.7556237547213049,True
1,162,2,0.2468443306992258,119.9,21.3732734975249,0.1550232816272154,0.9472787413654916,1.0,1.0,0.04650698448816462,0.28418362240964745,0.2,0.2,0.7306906068978121,True
2,176,2,0.2687670989281108,119.9,22.287604559485526,0.0889216626010086,0.9378084530765785,1.0,1.0,0.02667649878030258,0.28134253592297354,0.2,0.2,0.7080190347032762,True
3,166,2,0.2508803626486843,119.9,20.877974279129667,0.2514687346545525,0.9455887621435548,1.0,1.0,0.07544062039636575,0.2836766286430664,0.2,0.2,0.7591172490394322,True
4,162,2,0.245609021496156,119.9,21.29534381032624,0.1677527782585486,0.9477911111010092,1.0,1.0,0.05032583347756458,0.28433733333030276,0.2,0.2,0.7346631668078674,True
5,162,4,0.2612923236739746,119.9,21.14816540506528,0.5528390770432862,0.9411170914481426,1.0,1.0,0.16585172311298585,0.2823351274344428,0.2,0.2,0.8481868505474286,True
6,152,3,0.2504109023050734,119.9,19.143764781254493,0.4211308549492973,0.9457865885465592,1.0,1.0,0.1263392564847892,0.28373597656396776,0.2,0.2,0.8100752330487568,True
7,144,3,0.2600973321779452,119.9,18.351955536127477,0.4828488030866723,0.9416384525565622,1.0,1.0,0.14485464092600167,0.28249153576696867,0.2,0.2,0.8273461766929704,True
8,138,4,0.2512841526931093,66.80000000000001,19.09516894400256,0.4286905942996187,0.9454183453970728,1.0,1.0,0.1286071782898856,0.2836255036191218,0.2,0.2,0.8122326819090073,True
9,162,2,0.2605043986709492,68.0,22.92184977265142,0.1114227108539313,0.941461090089198,1.0,1.0,0.03342681325617939,0.28243832702675936,0.2,0.2,0.7158651402829388,True
10,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
11,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
12,138,3,0.2471780907704257,66.8,20.653281313147318,0.3237075640743331,0.947139914191729,1.0,1.0,0.09711226922229993,0.2841419742575187,0.2,0.2,0.7812542434798186,True
13,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
14,140,3,0.2537580765768992,66.89999999999999,22.64603022606832,0.3640102882059365,0.944368937359884,1.0,1.0,0.10920308646178095,0.2833106812079652,0.2,0.2,0.7925137676697462,True
15,133,3,0.2595798787300712,66.5,21.28159890609725,0.4055623453633072,0.941863559310632,1.0,1.0,0.12166870360899215,0.2825590677931896,0.2,0.2,0.8042277714021817,True
16,142,3,0.2804903104372604,67.0,24.65875236097723,0.4115074909337752,0.9324561355255008,1.0,1.0,0.12345224728013256,0.2797368406576502,0.2,0.2,0.8031890879377828,True
17,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
18,116,3,0.2620461967407971,65.7,20.614516850996043,0.3237229708584757,0.9407871051416884,1.0,1.0,0.0971168912575427,0.2822361315425065,0.2,0.2,0.7793530228000491,True
19,130,3,0.263778882076774,66.39999999999999,24.30081120045172,0.4500415866816234,0.9400255103194716,1.0,1.0,0.13501247600448701,0.28200765309584147,0.2,0.2,0.8170201291003285,True
20,108,3,0.2612089370838579,65.3,20.524629716513765,0.2729337019491572,0.9411535402373058,1.0,1.0,0.08188011058474716,0.28234606207119173,0.2,0.2,0.764226172655939,True
21,122,3,0.2369161806692631,66.0,23.990993018214148,0.3900925853179466,0.9513315060581948,1.0,1.0,0.11702777559538398,0.28539945181745846,0.2,0.2,0.8024272274128423,True
22,107,3,0.2644170623712849,65.2,21.03414597743393,0.2460956142956801,0.9397438922563296,1.0,1.0,0.07382868428870402,0.28192316767689884,0.2,0.2,0.7557518519656028,True
23,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
24,117,3,0.2457867020626955,65.69999999999999,23.4008171865856,0.2466737221457131,0.9477175557014228,1.0,1.0,0.07400211664371392,0.28431526671042684,0.2,0.2,0.7583173833541408,True
25,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
26,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
27,104,2,0.2527646250386682,65.10000000000001,21.058694285259,0.1899871253467833,0.9447914424102294,1.0,1.0,0.05699613760403499,0.2834374327230688,0.2,0.2,0.7404335703271039,True
28,116,3,0.2502726699047861,65.7,23.5141783824143,0.3021595435491583,0.9458447757090626,1.0,1.0,0.0906478630647475,0.28375343271271875,0.2,0.2,0.7744012957774662,True
29,102,2,0.2674938308012278,65.0,20.649952058055728,0.1741864581789802,0.938377816345674,1.0,1.0,0.052255937453694064,0.28151334490370217,0.2,0.2,0.7337692823573962,True
30,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
31,118,3,0.2402308886152389,65.8,23.636442752664795,0.3439884272438461,0.9499949978123434,1.0,1.0,0.10319652817315382,0.284998499343703,0.2,0.2,0.7881950275168568,True
32,104,3,0.2442020185016709,65.1,20.657405572820608,0.4189481501287685,0.9483718978907606,1.0,1.0,0.12568444503863055,0.28451156936722816,0.2,0.2,0.8101960144058586,True
33,120,3,0.2406418251710582,65.9,23.379026605057792,0.4037394929247034,0.9498281442184072,1.0,1.0,0.12112184787741101,0.28494844326552216,0.2,0.2,0.8060702911429332,True
34,108,3,0.2419871497224311,65.3,20.699581855680083,0.3922742759931885,0.9492801100321,1.0,1.0,0.11768228279795653,0.28478403300963,0.2,0.2,0.8024663158075864,True
35,128,3,0.2488747571825914,66.3,23.97399795611904,0.4548586143425727,0.946431603847957,1.0,1.0,0.1364575843027718,0.2839294811543871,0.2,0.2,0.8203870654571588,True
36,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
37,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,False
38,138,3,0.2581796790520028,66.80000000000001,24.486777656523127,0.4792210880286975,0.9424707058311744,1.0,1.0,0.14376632640860926,0.2827412117493523,0.2,0.2,0.8265075381579616,True
